run_accession	ega_sample_accession	ega_study_accession	ega_study_title	ega_study_description	ega_released_date	ega_status	ega_error
EGAR00001420100	EGAN00001374171	EGAS00001001704	LifeLines-DEEP population multi-omix cohort from the noth of the Netherlands.	The LifeLines-DEEP cohort is a sub-cohort of the LifeLines cohort (167,729 participants) that employs a broad range of investigative procedures to assess the biomedical, socio-demographic, behavioral, physical and psychological factors that contribute to health and disease in the general Dutch population, (Scholtens 2015). A subset of approximately 1,500 participants also took part in LifeLines-DEEP. For these participants, additional biological materials were collected, including analysis of the gut microbiome composition. The phenotyping and processing of LifeLines-DEEP has been described in Tigchelaar (2015).	2016-02-08T09:16:04+01:00	ok	
EGAR00001420101	EGAN00001374106	EGAS00001001704	LifeLines-DEEP population multi-omix cohort from the noth of the Netherlands.	The LifeLines-DEEP cohort is a sub-cohort of the LifeLines cohort (167,729 participants) that employs a broad range of investigative procedures to assess the biomedical, socio-demographic, behavioral, physical and psychological factors that contribute to health and disease in the general Dutch population, (Scholtens 2015). A subset of approximately 1,500 participants also took part in LifeLines-DEEP. For these participants, additional biological materials were collected, including analysis of the gut microbiome composition. The phenotyping and processing of LifeLines-DEEP has been described in Tigchelaar (2015).	2016-02-08T09:16:04+01:00	ok	
EGAR00001420106	EGAN00001374660	EGAS00001001704	LifeLines-DEEP population multi-omix cohort from the noth of the Netherlands.	The LifeLines-DEEP cohort is a sub-cohort of the LifeLines cohort (167,729 participants) that employs a broad range of investigative procedures to assess the biomedical, socio-demographic, behavioral, physical and psychological factors that contribute to health and disease in the general Dutch population, (Scholtens 2015). A subset of approximately 1,500 participants also took part in LifeLines-DEEP. For these participants, additional biological materials were collected, including analysis of the gut microbiome composition. The phenotyping and processing of LifeLines-DEEP has been described in Tigchelaar (2015).	2016-02-08T09:16:04+01:00	ok	
EGAR00001420103	EGAN00001374348	EGAS00001001704	LifeLines-DEEP population multi-omix cohort from the noth of the Netherlands.	The LifeLines-DEEP cohort is a sub-cohort of the LifeLines cohort (167,729 participants) that employs a broad range of investigative procedures to assess the biomedical, socio-demographic, behavioral, physical and psychological factors that contribute to health and disease in the general Dutch population, (Scholtens 2015). A subset of approximately 1,500 participants also took part in LifeLines-DEEP. For these participants, additional biological materials were collected, including analysis of the gut microbiome composition. The phenotyping and processing of LifeLines-DEEP has been described in Tigchelaar (2015).	2016-02-08T09:16:04+01:00	ok	
EGAR00001420107	EGAN00001373634	EGAS00001001704	LifeLines-DEEP population multi-omix cohort from the noth of the Netherlands.	The LifeLines-DEEP cohort is a sub-cohort of the LifeLines cohort (167,729 participants) that employs a broad range of investigative procedures to assess the biomedical, socio-demographic, behavioral, physical and psychological factors that contribute to health and disease in the general Dutch population, (Scholtens 2015). A subset of approximately 1,500 participants also took part in LifeLines-DEEP. For these participants, additional biological materials were collected, including analysis of the gut microbiome composition. The phenotyping and processing of LifeLines-DEEP has been described in Tigchelaar (2015).	2016-02-08T09:16:04+01:00	ok	
EGAR00001420104	EGAN00001373728	EGAS00001001704	LifeLines-DEEP population multi-omix cohort from the noth of the Netherlands.	The LifeLines-DEEP cohort is a sub-cohort of the LifeLines cohort (167,729 participants) that employs a broad range of investigative procedures to assess the biomedical, socio-demographic, behavioral, physical and psychological factors that contribute to health and disease in the general Dutch population, (Scholtens 2015). A subset of approximately 1,500 participants also took part in LifeLines-DEEP. For these participants, additional biological materials were collected, including analysis of the gut microbiome composition. The phenotyping and processing of LifeLines-DEEP has been described in Tigchelaar (2015).	2016-02-08T09:16:04+01:00	ok	
EGAR00001420102	EGAN00001373623	EGAS00001001704	LifeLines-DEEP population multi-omix cohort from the noth of the Netherlands.	The LifeLines-DEEP cohort is a sub-cohort of the LifeLines cohort (167,729 participants) that employs a broad range of investigative procedures to assess the biomedical, socio-demographic, behavioral, physical and psychological factors that contribute to health and disease in the general Dutch population, (Scholtens 2015). A subset of approximately 1,500 participants also took part in LifeLines-DEEP. For these participants, additional biological materials were collected, including analysis of the gut microbiome composition. The phenotyping and processing of LifeLines-DEEP has been described in Tigchelaar (2015).	2016-02-08T09:16:04+01:00	ok	
EGAR00001420105	EGAN00001374357	EGAS00001001704	LifeLines-DEEP population multi-omix cohort from the noth of the Netherlands.	The LifeLines-DEEP cohort is a sub-cohort of the LifeLines cohort (167,729 participants) that employs a broad range of investigative procedures to assess the biomedical, socio-demographic, behavioral, physical and psychological factors that contribute to health and disease in the general Dutch population, (Scholtens 2015). A subset of approximately 1,500 participants also took part in LifeLines-DEEP. For these participants, additional biological materials were collected, including analysis of the gut microbiome composition. The phenotyping and processing of LifeLines-DEEP has been described in Tigchelaar (2015).	2016-02-08T09:16:04+01:00	ok	
EGAR00001420108	EGAN00001374662	EGAS00001001704	LifeLines-DEEP population multi-omix cohort from the noth of the Netherlands.	The LifeLines-DEEP cohort is a sub-cohort of the LifeLines cohort (167,729 participants) that employs a broad range of investigative procedures to assess the biomedical, socio-demographic, behavioral, physical and psychological factors that contribute to health and disease in the general Dutch population, (Scholtens 2015). A subset of approximately 1,500 participants also took part in LifeLines-DEEP. For these participants, additional biological materials were collected, including analysis of the gut microbiome composition. The phenotyping and processing of LifeLines-DEEP has been described in Tigchelaar (2015).	2016-02-08T09:16:04+01:00	ok	
EGAR00001420109	EGAN00001374355	EGAS00001001704	LifeLines-DEEP population multi-omix cohort from the noth of the Netherlands.	The LifeLines-DEEP cohort is a sub-cohort of the LifeLines cohort (167,729 participants) that employs a broad range of investigative procedures to assess the biomedical, socio-demographic, behavioral, physical and psychological factors that contribute to health and disease in the general Dutch population, (Scholtens 2015). A subset of approximately 1,500 participants also took part in LifeLines-DEEP. For these participants, additional biological materials were collected, including analysis of the gut microbiome composition. The phenotyping and processing of LifeLines-DEEP has been described in Tigchelaar (2015).	2016-02-08T09:16:04+01:00	ok	
