sample_accession	secondary_sample_accession	study_accession	sample_title	description	first_public	last_updated	center_name	country	host_body_site	host_status	disease	host	host_scientific_name	project_name	collection_date
SAMD00114723		PRJEB103715;PRJDB4176	human feces_10236	Keywords: GSC:MIxS MIMS:6.0	2019-03-23	2022-04-03	Tokyo Institute of Technology	Japan				Homo sapiens	Homo sapiens	Generic sample from human gut metagenome	2014
SAMD00114732		PRJEB98859;PRJDB4176	human feces_10323	Keywords: GSC:MIxS MIMS:6.0	2019-03-23	2022-04-03	Tokyo Institute of Technology	Japan				Homo sapiens	Homo sapiens	Generic sample from human gut metagenome	2014
SAMD00114744		PRJEB103715;PRJDB4176	human feces_10126	Keywords: GSC:MIxS MIMS:6.0	2019-03-23	2022-04-03	Tokyo Institute of Technology	Japan				Homo sapiens	Homo sapiens	Generic sample from human gut metagenome	2014
SAMD00114750		PRJEB103715;PRJDB4176	human feces_10284	Keywords: GSC:MIxS MIMS:6.0	2019-03-23	2022-04-03	Tokyo Institute of Technology	Japan				Homo sapiens	Homo sapiens	Generic sample from human gut metagenome	2014
SAMD00114762		PRJEB98859;PRJDB4176	human feces_10177	Keywords: GSC:MIxS MIMS:6.0	2019-03-23	2022-04-03	Tokyo Institute of Technology	Japan				Homo sapiens	Homo sapiens	Generic sample from human gut metagenome	2014
SAMD00114766		PRJEB98859;PRJDB4176	human feces_10199	Keywords: GSC:MIxS MIMS:6.0	2019-03-23	2022-04-03	Tokyo Institute of Technology	Japan				Homo sapiens	Homo sapiens	Generic sample from human gut metagenome	2014
SAMD00114776		PRJEB103715;PRJDB4176	human feces_10308	Keywords: GSC:MIxS MIMS:6.0	2019-03-23	2022-04-03	Tokyo Institute of Technology	Japan				Homo sapiens	Homo sapiens	Generic sample from human gut metagenome	2014
SAMD00114777		PRJEB98859;PRJDB4176	human feces_10309	Keywords: GSC:MIxS MIMS:6.0	2019-03-23	2022-04-03	Tokyo Institute of Technology	Japan				Homo sapiens	Homo sapiens	Generic sample from human gut metagenome	2014
SAMD00114786		PRJEB103715;PRJDB4176	human feces_10358	Keywords: GSC:MIxS MIMS:6.0	2019-03-23	2022-04-03	Tokyo Institute of Technology	Japan				Homo sapiens	Homo sapiens	Generic sample from human gut metagenome	2014
SAMD00114788		PRJEB98859;PRJDB4176	human feces_10338	Keywords: GSC:MIxS MIMS:6.0	2019-03-23	2022-04-03	Tokyo Institute of Technology	Japan				Homo sapiens	Homo sapiens	Generic sample from human gut metagenome	2014
SAMD00114790		PRJEB103715;PRJDB4176	human feces_10345	Keywords: GSC:MIxS MIMS:6.0	2019-03-23	2022-04-03	Tokyo Institute of Technology	Japan				Homo sapiens	Homo sapiens	Generic sample from human gut metagenome	2014
SAMD00114793		PRJEB103715;PRJDB4176	human feces_10248	Keywords: GSC:MIxS MIMS:6.0	2019-03-23	2022-04-03	Tokyo Institute of Technology	Japan				Homo sapiens	Homo sapiens	Generic sample from human gut metagenome	2014
SAMD00114794		PRJEB98859;PRJDB4176	human feces_10249	Keywords: GSC:MIxS MIMS:6.0	2019-03-23	2022-04-03	Tokyo Institute of Technology	Japan				Homo sapiens	Homo sapiens	Generic sample from human gut metagenome	2014
