study_accession	secondary_study_accession	study_title	study_description	center_name	study_name	project_name
PRJEB1690	ERP002391	This is a metagenomic study to investigate the microbial community and metabolic functions of Korean twin pairs.	This is a metagenomic study to investigate the microbial community and metabolic functions of Korean twin pairs. Fecal samples from 10 twin pairs were collected once and those of 8 pairs were collected twice with an average interval between sampling of about 2 years. Whole genome shotgun (WGS) sequencing was performed in a total of 36 fecal samples.	Seoul National University;Korea;SNU		
PRJEB103154	ERP184507	TPA metagenomic assembly of the PRJEB17632 data set	The Third Party Annotation (TPA) assembly was derived from the primary whole genome shotgun (WGS) dataset PRJEB17632. The assembly was generated with metaSPAdes (Nurk et al., 2017) and metagenome-assembled genomes (MAGs) were reconstructed using MetaBAT2 (Kang et al., 2019) with contig coverage information across multiple samples. Methods are described in Paoli et al., 2022 and Ruscheweyh et al., 2022.	ETH ZURICH		
PRJEB103167	ERP184520	TPA metagenomic assembly of the PRJNA688274 data set	The Third Party Annotation (TPA) assembly was derived from the primary whole genome shotgun (WGS) dataset PRJNA688274. The assembly was generated with metaSPAdes (Nurk et al., 2017) and metagenome-assembled genomes (MAGs) were reconstructed using MetaBAT2 (Kang et al., 2019) with contig coverage information across multiple samples. Methods are described in Paoli et al., 2022 and Ruscheweyh et al., 2022.	ETH ZURICH		
PRJEB103248	ERP184601	TPA metagenomic assembly of the PRJEB22893 data set	The Third Party Annotation (TPA) assembly was derived from the primary whole genome shotgun (WGS) dataset PRJEB22893. The assembly was generated with metaSPAdes (Nurk et al., 2017) and metagenome-assembled genomes (MAGs) were reconstructed using MetaBAT2 (Kang et al., 2019) with contig coverage information across multiple samples. Methods are described in Paoli et al., 2022 and Ruscheweyh et al., 2022.	ETH ZURICH		
PRJEB103269	ERP184622	TPA metagenomic assembly of the PRJNA48479 data set	The Third Party Annotation (TPA) assembly was derived from the primary whole genome shotgun (WGS) dataset PRJNA48479. The assembly was generated with metaSPAdes (Nurk et al., 2017) and metagenome-assembled genomes (MAGs) were reconstructed using MetaBAT2 (Kang et al., 2019) with contig coverage information across multiple samples. Methods are described in Paoli et al., 2022 and Ruscheweyh et al., 2022.	ETH ZURICH		
PRJEB103319	ERP184672	TPA metagenomic assembly of the PRJNA328899 data set	The Third Party Annotation (TPA) assembly was derived from the primary whole genome shotgun (WGS) dataset PRJNA328899. The assembly was generated with metaSPAdes (Nurk et al., 2017) and metagenome-assembled genomes (MAGs) were reconstructed using MetaBAT2 (Kang et al., 2019) with contig coverage information across multiple samples. Methods are described in Paoli et al., 2022 and Ruscheweyh et al., 2022.	ETH ZURICH		
PRJEB103629	ERP184982	TPA metagenomic assembly of the PRJNA504891 data set	The Third Party Annotation (TPA) assembly was derived from the primary whole genome shotgun (WGS) dataset PRJNA504891. The assembly was generated with metaSPAdes (Nurk et al., 2017) and metagenome-assembled genomes (MAGs) were reconstructed using MetaBAT2 (Kang et al., 2019) with contig coverage information across multiple samples. Methods are described in Paoli et al., 2022 and Ruscheweyh et al., 2022.	ETH ZURICH		
PRJEB103715	ERP185068	TPA metagenomic assembly of the PRJDB4176 data set	The Third Party Annotation (TPA) assembly was derived from the primary whole genome shotgun (WGS) dataset PRJDB4176. The assembly was generated with metaSPAdes (Nurk et al., 2017) and metagenome-assembled genomes (MAGs) were reconstructed using MetaBAT2 (Kang et al., 2019) with contig coverage information across multiple samples. Methods are described in Paoli et al., 2022 and Ruscheweyh et al., 2022.	ETH ZURICH		
PRJEB103732	ERP185085	TPA metagenomic assembly of the PRJEB6997 data set	The Third Party Annotation (TPA) assembly was derived from the primary whole genome shotgun (WGS) dataset PRJEB6997. The assembly was generated with metaSPAdes (Nurk et al., 2017) and metagenome-assembled genomes (MAGs) were reconstructed using MetaBAT2 (Kang et al., 2019) with contig coverage information across multiple samples. Methods are described in Paoli et al., 2022 and Ruscheweyh et al., 2022.	ETH ZURICH		
PRJEB103621	ERP184974	TPA metagenomic assembly of the PRJNA693850 data set	The Third Party Annotation (TPA) assembly was derived from the primary whole genome shotgun (WGS) dataset PRJNA693850. The assembly was generated with metaSPAdes (Nurk et al., 2017) and metagenome-assembled genomes (MAGs) were reconstructed using MetaBAT2 (Kang et al., 2019) with contig coverage information across multiple samples. Methods are described in Paoli et al., 2022 and Ruscheweyh et al., 2022.	ETH ZURICH		
