Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR5275407	2017-02-27 04:17:10	2017-02-21 14:00:52	21737487	5434371750	21737487	250	1840		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/275/SRR5275407.sralite.1	SRX2579347	5577_ytn	WGS	RANDOM	METAGENOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP100446	PRJNA373901		373901	SRS1993539	SAMN06328494	simple	408170	human gut metagenome	5577_ytn							no					HUMAN LONGEVITY INC	SRA539266		public	881471071FF3AFCC7CD787A9128E0D33	38EAD8E2BC192BDF7FBC67B9980D237C
SRR5275406	2017-02-27 04:17:10	2017-02-21 13:57:03	18795010	4698752500	18795010	250	1615		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/275/SRR5275406.sralite.1	SRX2579346	5578_fjg	WGS	RANDOM	METAGENOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP100446	PRJNA373901		373901	SRS1993538	SAMN06328461	simple	408170	human gut metagenome	5578_fjg							no					HUMAN LONGEVITY INC	SRA539266		public	0AD12DBD2108455AB39467EA89DC4F06	64AAE419733DF5808C8C681113AB7814
SRR5275405	2017-02-27 04:17:10	2017-02-21 14:04:37	25495719	6373929750	25495719	250	2282		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/275/SRR5275405.sralite.1	SRX2579345	5579_bce	WGS	RANDOM	METAGENOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP100446	PRJNA373901		373901	SRS1993537	SAMN06328495	simple	408170	human gut metagenome	5579_bce							no					HUMAN LONGEVITY INC	SRA539266		public	5FB4C0FE70864C850C593AED34CE764C	6C1E325C8D38A79307A55E19B7C147E6
SRR5275404	2017-02-27 04:17:10	2017-02-21 13:59:42	15437086	3859271500	15437086	250	1346		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/275/SRR5275404.sralite.1	SRX2579344	5581_yad	WGS	RANDOM	METAGENOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP100446	PRJNA373901		373901	SRS1993536	SAMN06328496	simple	408170	human gut metagenome	5581_yad							no					HUMAN LONGEVITY INC	SRA539266		public	5533415F09B969EBD254D0272A20945A	EE6449B3A0099F74ADC4466E3613935B
SRR5275403	2017-02-27 04:17:10	2017-02-21 14:05:44	25875797	6468949250	25875797	250	2187		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/275/SRR5275403.sralite.1	SRX2579343	5584_vix	WGS	RANDOM	METAGENOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP100446	PRJNA373901		373901	SRS1993535	SAMN06328497	simple	408170	human gut metagenome	5584_vix							no					HUMAN LONGEVITY INC	SRA539266		public	BD3BC405F74A8ECDBB383A36A094AB4B	600F329C56FBB765E25339E49C8052CC
SRR5275402	2017-02-27 04:17:10	2017-02-21 13:58:30	15512011	3878002750	15512011	250	1322		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/275/SRR5275402.sralite.1	SRX2579342	5625_bnh	WGS	RANDOM	METAGENOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP100446	PRJNA373901		373901	SRS1993534	SAMN06328462	simple	408170	human gut metagenome	5625_bnh							no					HUMAN LONGEVITY INC	SRA539266		public	C363C544D2E4780729AFA9D7B5C861E9	8CBCD53D0D6EC449EA014ED97C23C366
SRR5275401	2017-02-27 04:17:09	2017-02-21 13:59:19	21143839	5285959750	21143839	250	1833		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/275/SRR5275401.sralite.1	SRX2579341	5627_irb	WGS	RANDOM	METAGENOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP100446	PRJNA373901		373901	SRS1993533	SAMN06328498	simple	408170	human gut metagenome	5627_irb							no					HUMAN LONGEVITY INC	SRA539266		public	9FC1F3DF793EB07454CBC502248BCDFD	A45DD3B267FA4457BBA64D8B3DF97DF2
SRR5275400	2017-02-27 04:17:09	2017-02-21 13:58:06	20546196	5136549000	20546196	250	1757		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/275/SRR5275400.sralite.1	SRX2579340	5629_hiu	WGS	RANDOM	METAGENOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP100446	PRJNA373901		373901	SRS1993532	SAMN06328463	simple	408170	human gut metagenome	5629_hiu							no					HUMAN LONGEVITY INC	SRA539266		public	D39A9D864D30902C334CC12D938D3A55	C8DA71120361E2C2C8C68C5A2041DBEF
SRR5275399	2017-02-27 04:17:09	2017-02-21 14:04:06	28511903	7127975750	28511903	250	2429		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/275/SRR5275399.sralite.1	SRX2579339	5630_kod	WGS	RANDOM	METAGENOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP100446	PRJNA373901		373901	SRS1993530	SAMN06328464	simple	408170	human gut metagenome	5630_kod							no					HUMAN LONGEVITY INC	SRA539266		public	8A75BF02DDE99E7475A535810E565A1D	37686350E8BE64F76FE5D3DB8DD88FD4
SRR5275398	2017-02-27 04:17:09	2017-02-21 13:55:56	16026082	4006520500	16026082	250	1382		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/275/SRR5275398.sralite.1	SRX2579338	5631_soh	WGS	RANDOM	METAGENOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP100446	PRJNA373901		373901	SRS1993531	SAMN06328499	simple	408170	human gut metagenome	5631_soh							no					HUMAN LONGEVITY INC	SRA539266		public	5699BB317704922699B319631CBF8154	86C9A80563C006C03B21EFAF84F8646D
