SpeciesName,x,y,Domain,Kingdom,Phylum,Class,Order,Family,Genus,Species
Prevotella_maculosa,12.794944,2.4843142,Bacteria,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella maculosa
Flavonifractor_plautii,8.967402,1.7881484,Bacteria,Bacteria,Firmicutes,Clostridia,Eubacteriales,Oscillospiraceae,Flavonifractor,Flavonifractor plautii
Oscillibacter_sp_57_20,8.183837,2.4981565,Bacteria,Bacteria,Firmicutes,Clostridia,Eubacteriales,Oscillospiraceae,Oscillibacter,Oscillibacter sp_57_20
Erwinia_virus_Ea214,-6.2497396,4.308931,Viruses,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Kolesnikvirus,Erwinia virus_Ea214
Escherichia_virus_If1,-5.926686,5.094566,Viruses,Viruses,Hofneiviricota,Faserviricetes,Tubulavirales,Inoviridae,Infulavirus,Escherichia virus_If1
Prevotella_pallens,13.005111,2.2248733,Bacteria,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella pallens
Enterococcus_casseliflavus,8.88196,11.7115965,Bacteria,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus casseliflavus
Anaerococcus_nagyae,6.3790617,5.8926487,Bacteria,Bacteria,Firmicutes,Tissierellia,Tissierellales,Peptoniphilaceae,Anaerococcus,Anaerococcus nagyae
Roseburia_sp_CAG_303,13.042524,9.033173,Bacteria,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Roseburia,Roseburia sp_CAG_303
Megasphaera_stantonii,7.6787925,1.5842997,Bacteria,Bacteria,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera stantonii
Enterococcus_asini,8.9449415,11.657132,Bacteria,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus asini
Lactococcus_piscium,8.472937,8.933263,Bacteria,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,Lactococcus piscium
Leptotrichia_sp_oral_taxon_879,10.41907,5.6456347,Bacteria,Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Leptotrichia,Leptotrichia sp_oral_taxon_879
Oxalobacter_formigenes,9.433041,6.709779,Bacteria,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Oxalobacter,Oxalobacter formigenes
Massiliomicrobiota_timonensis,11.924799,8.648331,Bacteria,Bacteria,Bacillota,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Massiliomicrobiota,Massiliomicrobiota timonensis
Pseudoflavonifractor_sp_An184,8.297679,2.2895112,Bacteria,Bacteria,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Pseudoflavonifractor,Pseudoflavonifractor sp_An184
Clostridium_celatum,9.523615,1.1542274,Bacteria,Bacteria,Firmicutes,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Clostridium celatum
Clostridiales_bacterium_1_7_47FAA,8.942605,1.4210484,Bacteria,Bacteria,Bacillota,Clostridia,Eubacteriales,Eubacteriales_unclassified,Eubacteriales_unclassified,Clostridiales bacterium_1_7_47FAA
Eubacterium_cylindroides,6.676607,1.020736,Bacteria,Bacteria,Firmicutes,Clostridia,Eubacteriales,Eubacteriaceae,Eubacterium,Eubacterium cylindroides
Microbacterium_phage_Min1,-6.866447,3.2781875,Viruses,Viruses,Uroviricota,Caudoviricetes,Unknown,Unknown,Minunavirus,Microbacterium phage_Min1
Fusobacterium_sp_oral_taxon_370,9.661954,5.029684,Bacteria,Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fusobacterium sp_oral_taxon_370
Shigella_virus_Shfl2,-6.037267,4.381348,Viruses,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Tequatrovirus,Shigella virus_Shfl2
Ruminococcus_bromii,8.178468,2.7788525,Bacteria,Bacteria,Firmicutes,Clostridia,Eubacteriales,Oscillospiraceae,Ruminococcus,Ruminococcus bromii
Alistipes_finegoldii,12.901759,3.8653505,Bacteria,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes finegoldii
Bacteroides_stercorirosoris,13.608856,4.024396,Bacteria,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides stercorirosoris
Klebsiella_variicola_CAG_634,6.728279,11.090635,Bacteria,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella variicola_CAG_634
Parvimonas_sp_oral_taxon_110,6.506004,5.7898164,Bacteria,Bacteria,Firmicutes,Tissierellia,Tissierellales,Peptoniphilaceae,Parvimonas,Parvimonas sp_oral_taxon_110
Capnocytophaga_granulosa,10.974235,5.471003,Bacteria,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Capnocytophaga,Capnocytophaga granulosa
Bacteroides_eggerthii,13.74546,4.3102503,Bacteria,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides eggerthii
Monoglobus_pectinilyticus,12.530658,8.319419,Bacteria,Bacteria,Firmicutes,Clostridia,Monoglobales,Monoglobaceae,Monoglobus,Monoglobus pectinilyticus
Porphyromonas_asaccharolytica,12.222269,3.5645597,Bacteria,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,Porphyromonas asaccharolytica
Lachnoanaerobaculum_saburreum,13.295484,8.853671,Bacteria,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnoanaerobaculum,Lachnoanaerobaculum saburreum
Lactobacillus_saniviri,10.020148,11.362774,Bacteria,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus saniviri
Micrococcus_aloeverae,13.171395,7.9882445,Bacteria,Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Micrococcus,Micrococcus aloeverae
Blautia_coccoides,9.254421,9.9555025,Bacteria,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Blautia,Blautia coccoides
Haemophilus_pittmaniae,6.753797,9.727801,Bacteria,Bacteria,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,Haemophilus pittmaniae
Prevotella_sp_F0091,12.978522,2.2182913,Bacteria,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella sp_F0091
Weissella_cibaria,9.857418,10.19107,Bacteria,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Weissella,Weissella cibaria
Veillonella_tobetsuensis,7.3072295,1.8107934,Bacteria,Bacteria,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Veillonella,Veillonella tobetsuensis
Clostridioides_difficile,12.720104,6.3327174,Bacteria,Bacteria,Firmicutes,Clostridia,Peptostreptococcales,Peptostreptococcaceae,Clostridioides,Clostridioides difficile
Streptococcus_infantarius,8.420127,8.769007,Bacteria,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus infantarius
Streptococcus_thermophilus,8.398113,8.663638,Bacteria,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus thermophilus
Eubacterium_ventriosum,6.831041,1.1740184,Bacteria,Bacteria,Firmicutes,Clostridia,Eubacteriales,Eubacteriaceae,Eubacterium,Eubacterium ventriosum
Bacillus_phage_phi105,-6.8933334,3.5408607,Viruses,Viruses,Uroviricota,Caudoviricetes,Unknown,Unknown,Spizizenvirus,Bacillus phage_phi105
Turicimonas_muris,9.425823,6.6618204,Bacteria,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Sutterellaceae,Turicimonas,Turicimonas muris
Weissella_viridescens,9.775843,10.204704,Bacteria,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Weissella,Weissella viridescens
Neisseria_sicca,9.304918,7.6927223,Bacteria,Bacteria,Pseudomonadota,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,Neisseria sicca
Staphylococcus_warneri,5.855984,6.129566,Bacteria,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus warneri
Lactobacillus_casei_paracasei,10.430621,11.353572,Bacteria,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus casei_paracasei
Lactobacillus_salivarius,10.340375,11.346871,Bacteria,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus salivarius
Actinomyces_sp_oral_taxon_181,12.059731,7.1025887,Bacteria,Bacteria,Actinomycetota,Actinomycetes,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces sp_oral_taxon_181
Enterococcus_phage_phiFL4A,-6.724922,3.3374758,Viruses,Viruses,Uroviricota,Caudoviricetes,Unknown,Unknown,Unknown,Enterococcus phage_phiFL4A
Cronobacter_phage_ENT39118,-6.4970827,3.3033972,Viruses,Viruses,Uroviricota,Caudoviricetes,Unknown,Unknown,Unknown,Cronobacter phage_ENT39118
Lactobacillus_delbrueckii,10.250825,11.028581,Bacteria,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus delbrueckii
Enterococcus_dispar,8.8211155,11.812673,Bacteria,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus dispar
Acinetobacter_junii,7.570736,10.3379545,Bacteria,Bacteria,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter junii
Eubacteriaceae_bacterium_CHKCI005,6.70222,1.0522963,Bacteria,Bacteria,Bacillota,Clostridia,Eubacteriales,Eubacteriaceae,Eubacteriaceae_unclassified,Eubacteriaceae bacterium_CHKCI005
Streptococcus_gordonii,8.464458,8.706264,Bacteria,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus gordonii
